datum,uredjaj,mjerenje,runtime,model,dataset,split,n_uzoraka,metrika,vrijednost,latencija_ms,dev,torch
2026-09-06T15:49:26,Jetson,SLINN_OPTIM,tensorrt,housing_mlp__best_quality_model_qat,california_housing,val,3096,R2,0.649882,0.2976,cuda,2.8.0
2026-09-06T15:49:26,Jetson,SLINN_OPTIM,tensorrt,housing_mlp__best_quality_model_qat,california_housing,val,3096,RMSE,0.675369,0.2976,cuda,2.8.0
2026-09-06T15:49:26,Jetson,SLINN_OPTIM,tensorrt,housing_mlp__best_quality_model_qat,california_housing,val,3096,MAE,0.507025,0.2976,cuda,2.8.0
2026-09-06T15:49:26,Jetson,SLINN_OPTIM,tensorrt,housing_mlp__best_quality_model_qat,california_housing,val,3096,MedAE,0.415994,0.2976,cuda,2.8.0
2026-09-06T15:49:26,Jetson,SLINN_OPTIM,tensorrt,housing_mlp__best_quality_model_qat,california_housing,val,3096,P90,1.010493,0.2976,cuda,2.8.0
2026-09-06T15:49:26,Jetson,SLINN_OPTIM,tensorrt,housing_mlp__best_quality_model_qat,california_housing,val,3096,lin_R2,0.584826,0.2976,cuda,2.8.0
2026-09-06T15:49:27,Jetson,SLINN_OPTIM,tensorrt,housing_mlp__best_quality_model_qat,california_housing,test,3096,R2,0.693145,0.3005,cuda,2.8.0
2026-09-06T15:49:27,Jetson,SLINN_OPTIM,tensorrt,housing_mlp__best_quality_model_qat,california_housing,test,3096,RMSE,0.636991,0.3005,cuda,2.8.0
2026-09-06T15:49:27,Jetson,SLINN_OPTIM,tensorrt,housing_mlp__best_quality_model_qat,california_housing,test,3096,MAE,0.489896,0.3005,cuda,2.8.0
2026-09-06T15:49:27,Jetson,SLINN_OPTIM,tensorrt,housing_mlp__best_quality_model_qat,california_housing,test,3096,MedAE,0.408515,0.3005,cuda,2.8.0
2026-09-06T15:49:27,Jetson,SLINN_OPTIM,tensorrt,housing_mlp__best_quality_model_qat,california_housing,test,3096,P90,0.971213,0.3005,cuda,2.8.0
2026-09-06T15:49:27,Jetson,SLINN_OPTIM,tensorrt,housing_mlp__best_quality_model_qat,california_housing,test,3096,lin_R2,0.606552,0.3005,cuda,2.8.0
2026-09-06T15:49:43,Jetson,SLINN_OPTIM,tensorrt,speechcommands_m5__best_quality_model_qat,speech_commands_v0.02,val,4443,accuracy,0.803286,0.3828,cuda,2.8.0
2026-09-06T15:49:43,Jetson,SLINN_OPTIM,tensorrt,speechcommands_m5__best_quality_model_qat,speech_commands_v0.02,val,4443,f1_macro,0.808207,0.3828,cuda,2.8.0
2026-09-06T15:49:54,Jetson,SLINN_OPTIM,tensorrt,speechcommands_m5__best_quality_model_qat,speech_commands_v0.02,test,4888,accuracy,0.804624,0.3858,cuda,2.8.0
2026-09-06T15:49:54,Jetson,SLINN_OPTIM,tensorrt,speechcommands_m5__best_quality_model_qat,speech_commands_v0.02,test,4888,f1_macro,0.809967,0.3858,cuda,2.8.0
2026-09-06T15:50:49,Jetson,SLINN_OPTIM,tensorrt,yolo26n__best_quality_model_qat,sub10k_open_images_v7,val,837,map,0.389675,5.9752,cuda,2.8.0
2026-09-06T15:50:49,Jetson,SLINN_OPTIM,tensorrt,yolo26n__best_quality_model_qat,sub10k_open_images_v7,val,837,map_50,0.591416,5.9752,cuda,2.8.0
2026-09-06T15:50:49,Jetson,SLINN_OPTIM,tensorrt,yolo26n__best_quality_model_qat,sub10k_open_images_v7,val,837,map_75,0.418461,5.9752,cuda,2.8.0
2026-09-06T15:50:49,Jetson,SLINN_OPTIM,tensorrt,yolo26n__best_quality_model_qat,sub10k_open_images_v7,val,837,mar_100,0.611194,5.9752,cuda,2.8.0
2026-09-06T15:52:16,Jetson,SLINN_OPTIM,tensorrt,yolo26n__best_quality_model_qat,sub10k_open_images_v7,test,1674,map,0.38538,5.708,cuda,2.8.0
2026-09-06T15:52:16,Jetson,SLINN_OPTIM,tensorrt,yolo26n__best_quality_model_qat,sub10k_open_images_v7,test,1674,map_50,0.585561,5.708,cuda,2.8.0
2026-09-06T15:52:16,Jetson,SLINN_OPTIM,tensorrt,yolo26n__best_quality_model_qat,sub10k_open_images_v7,test,1674,map_75,0.413433,5.708,cuda,2.8.0
2026-09-06T15:52:16,Jetson,SLINN_OPTIM,tensorrt,yolo26n__best_quality_model_qat,sub10k_open_images_v7,test,1674,mar_100,0.602018,5.708,cuda,2.8.0
