format,cpu_ms,gpu_ms,size_mb,map,map50,map75,mp,mr
FP32,398.2199,23.4121,50.7461,0.46687,0.67757,0.5152,0.66949,0.69744
FP16,42974.8416,25.1558,25.3731,0.4667,0.67755,0.51495,0.66902,0.69779
INT8-static,53.5395,N/A (static je CPU),25.1709,0.46763,0.67554,0.51334,0.67178,0.68361
INT8-TRT,N/A (TRT je GPU),4.976,28.7659,0.45605,0.66917,0.50009,0.67602,0.66306
