postupak,format,backend,cpu_ms,gpu_ms,size_mb,map,map50,map75,mar100
ORIG,FP32,PyTorch,334.5062,19.2889,100.9468,0.47778,0.68281,0.51521,0.67485
PTQ,FP32,PyTorch,N/A (—),15.595454003496638,100.9468,0.46687,0.67757,0.5152,0.69744
PTQ,INT8-OV,OpenVINO CPU,53.98678707030241,N/A (OpenVINO je CPU),25.2367,0.46763,0.67554,0.51334,0.68361
PTQ,FP16-TRT,TensorRT,N/A (TRT je GPU),4.740464299737939,52.06,0.46823,0.67993,0.51541,0.71291
PTQ,INT8-TRT,TensorRT,N/A (TRT je GPU),4.110438120749606,28.9189,0.45605,0.66917,0.50009,0.66306
QAT,FP32,PyTorch,N/A (—),17.838883078002688,100.9468,0.46802,0.6797,0.51685,0.69516
QAT,INT8-OV,OpenVINO CPU,66.52618568099778,N/A (OpenVINO je CPU),25.2367,0.46874,0.6768,0.5132,0.68718
QAT,FP16-TRT,TensorRT,N/A (TRT je GPU),5.521211909496569,51.7269,0.47103,0.6827,0.51627,0.70011
QAT,INT8-TRT,TensorRT,N/A (TRT je GPU),4.840552851744386,28.8487,0.45403,0.66366,0.50117,0.65998
