Device: cuda
Train rootovi: sub10k_open_images_v7, sub10k_open_images_v7_part2
Val root:      sub10k_open_images_v7  (nepromijenjen -> mAP usporediv s KD_featlogit)
Train: 14485    Val: 837
Model parameters: 2,090,238
Topli start iz: /home/tomi/code/dipl/custom_models/student_2_m/KD_featlogit/checkpoints/best.pt
  prethodna epoha=31  val_mAP=0.2127
  optimizer/scheduler NE nastavljaju se; LR krece od 5.00e-04
Iteracija/epoha: 905  (part1-only run je imao ~366)
  iter     50 | epoch   1/100 | loss 0.7002 | feat 0.1408 | cls 0.2625 | box 0.2969 | lr 1.41e-05
  iter    100 | epoch   1/100 | loss 0.6921 | feat 0.1416 | cls 0.2558 | box 0.2947 | lr 2.79e-05
  iter    150 | epoch   1/100 | loss 0.6890 | feat 0.1415 | cls 0.2531 | box 0.2944 | lr 4.17e-05
  iter    200 | epoch   1/100 | loss 0.6847 | feat 0.1413 | cls 0.2499 | box 0.2935 | lr 5.55e-05
  iter    250 | epoch   1/100 | loss 0.6796 | feat 0.1413 | cls 0.2459 | box 0.2925 | lr 6.93e-05
  iter    300 | epoch   1/100 | loss 0.6777 | feat 0.1411 | cls 0.2442 | box 0.2924 | lr 8.31e-05
  iter    350 | epoch   1/100 | loss 0.6735 | feat 0.1411 | cls 0.2406 | box 0.2919 | lr 9.70e-05
  iter    400 | epoch   1/100 | loss 0.6708 | feat 0.1409 | cls 0.2385 | box 0.2913 | lr 1.11e-04
  iter    450 | epoch   1/100 | loss 0.6677 | feat 0.1408 | cls 0.2363 | box 0.2905 | lr 1.25e-04
  iter    500 | epoch   1/100 | loss 0.6656 | feat 0.1408 | cls 0.2345 | box 0.2902 | lr 1.38e-04
  iter    550 | epoch   1/100 | loss 0.6659 | feat 0.1407 | cls 0.2344 | box 0.2908 | lr 1.52e-04
  iter    600 | epoch   1/100 | loss 0.6655 | feat 0.1407 | cls 0.2337 | box 0.2911 | lr 1.66e-04
  iter    650 | epoch   1/100 | loss 0.6649 | feat 0.1407 | cls 0.2330 | box 0.2911 | lr 1.80e-04
  iter    700 | epoch   1/100 | loss 0.6643 | feat 0.1407 | cls 0.2323 | box 0.2912 | lr 1.94e-04
  iter    750 | epoch   1/100 | loss 0.6642 | feat 0.1406 | cls 0.2321 | box 0.2915 | lr 2.07e-04
  iter    800 | epoch   1/100 | loss 0.6632 | feat 0.1406 | cls 0.2313 | box 0.2912 | lr 2.21e-04
  iter    850 | epoch   1/100 | loss 0.6616 | feat 0.1406 | cls 0.2302 | box 0.2908 | lr 2.35e-04
  iter    900 | epoch   1/100 | loss 0.6610 | feat 0.1405 | cls 0.2299 | box 0.2906 | lr 2.49e-04
[epoch   1] train_loss=0.6608 feat=0.1405 cls=0.2297 box=0.2905 (168.5s)
[epoch   1] validating...
[epoch   1] val_resp=0.6148 (cls=0.2713 box=0.3435) | val_mAP@50:95=0.2360 mAP@50=0.4331 (45.9s)
[epoch   1] new best (val_mAP@50:95 = 0.2360)
  iter    950 | epoch   2/100 | loss 0.6296 | feat 0.1401 | cls 0.2079 | box 0.2816 | lr 2.63e-04
  iter   1000 | epoch   2/100 | loss 0.6353 | feat 0.1405 | cls 0.2107 | box 0.2841 | lr 2.77e-04
  iter   1050 | epoch   2/100 | loss 0.6351 | feat 0.1404 | cls 0.2103 | box 0.2844 | lr 2.90e-04
  iter   1100 | epoch   2/100 | loss 0.6364 | feat 0.1404 | cls 0.2113 | box 0.2848 | lr 3.04e-04
  iter   1150 | epoch   2/100 | loss 0.6396 | feat 0.1404 | cls 0.2129 | box 0.2863 | lr 3.18e-04
  iter   1200 | epoch   2/100 | loss 0.6400 | feat 0.1404 | cls 0.2131 | box 0.2865 | lr 3.32e-04
