format,backend,cpu_ms,gpu_ms,size_mb,map,map50,map75,mar100
[ORIG] FP32,PyTorch,348.5116,20.1588,100.9468,0.47778,0.68281,0.51521,0.67485
QAT-FP32,PyTorch,329.7425,30.5415,100.9468,0.4738,0.68428,0.50992,0.66673
QAT-FP16,PyTorch,N/A (CPU fp16 bez HW puta),36.8901,50.6495,0.47325,0.68422,0.50912,0.66719
QAT-FP32-OV,OpenVINO CPU,96.3958,N/A (OpenVINO CPU),N/A (ONNX = opis grafa),0.47489,0.68453,0.51035,0.66916
QAT-INT8-OV,OpenVINO CPU,64.5492,N/A (OpenVINO CPU),N/A (ONNX = opis grafa),8e-05,0.00028,0.0,0.00511
QAT-FP16-TRT,TensorRT,N/A (TRT je GPU-only),4.7374,51.7687,0.41931,0.60457,0.45601,0.61744
QAT-INT8-TRT,TensorRT,N/A (TRT je GPU-only),5.188,29.1457,0.36155,0.51902,0.39319,0.57556
