Device: cuda
Train rootovi: sub10k_open_images_v7, sub10k_open_images_v7_part2
Val root:      sub10k_open_images_v7  (nepromijenjen -> mAP usporediv s KD_featlogit)
Train: 14485    Val: 837
Model parameters: 473,358
Topli start iz: /home/tomi/code/dipl/custom_models/student_0_5_m/KD_featlogit/checkpoints/best.pt
  prethodna epoha=25  val_mAP=0.0629
  optimizer/scheduler NE nastavljaju se; LR krece od 5.00e-04
Iteracija/epoha: 905  (part1-only run je imao ~366)
  iter   2250 | epoch   3/100 | loss 0.8786 | feat 0.1749 | cls 0.3000 | box 0.4037 | lr 5.00e-04
  iter   2300 | epoch   3/100 | loss 0.8787 | feat 0.1749 | cls 0.2998 | box 0.4040 | lr 5.00e-04
  iter   2350 | epoch   3/100 | loss 0.8797 | feat 0.1749 | cls 0.3002 | box 0.4046 | lr 5.00e-04
  iter   2400 | epoch   3/100 | loss 0.8800 | feat 0.1748 | cls 0.3001 | box 0.4050 | lr 5.00e-04
  iter   2450 | epoch   3/100 | loss 0.8803 | feat 0.1748 | cls 0.3004 | box 0.4051 | lr 5.00e-04
  iter   2500 | epoch   3/100 | loss 0.8804 | feat 0.1748 | cls 0.3005 | box 0.4050 | lr 5.00e-04
  iter   2550 | epoch   3/100 | loss 0.8801 | feat 0.1749 | cls 0.3004 | box 0.4049 | lr 5.00e-04
  iter   2600 | epoch   3/100 | loss 0.8801 | feat 0.1748 | cls 0.3005 | box 0.4048 | lr 5.00e-04
  iter   2650 | epoch   3/100 | loss 0.8801 | feat 0.1748 | cls 0.3005 | box 0.4048 | lr 5.00e-04
  iter   2700 | epoch   3/100 | loss 0.8795 | feat 0.1747 | cls 0.3003 | box 0.4044 | lr 5.00e-04
[epoch   3] train_loss=0.8794 feat=0.1748 cls=0.3003 box=0.4044 (169.7s)
  iter   2750 | epoch   4/100 | loss 0.8681 | feat 0.1730 | cls 0.2963 | box 0.3987 | lr 5.00e-04
  iter   2800 | epoch   4/100 | loss 0.8684 | feat 0.1736 | cls 0.2955 | box 0.3993 | lr 5.00e-04
  iter   2850 | epoch   4/100 | loss 0.8680 | feat 0.1737 | cls 0.2951 | box 0.3992 | lr 5.00e-04
  iter   2900 | epoch   4/100 | loss 0.8669 | feat 0.1736 | cls 0.2946 | box 0.3986 | lr 5.00e-04
  iter   2950 | epoch   4/100 | loss 0.8658 | feat 0.1737 | cls 0.2941 | box 0.3980 | lr 5.00e-04
  iter   3000 | epoch   4/100 | loss 0.8668 | feat 0.1740 | cls 0.2938 | box 0.3989 | lr 5.00e-04
  iter   3050 | epoch   4/100 | loss 0.8684 | feat 0.1739 | cls 0.2949 | box 0.3996 | lr 5.00e-04
  iter   3100 | epoch   4/100 | loss 0.8673 | feat 0.1741 | cls 0.2941 | box 0.3990 | lr 5.00e-04
  iter   3150 | epoch   4/100 | loss 0.8668 | feat 0.1742 | cls 0.2941 | box 0.3985 | lr 5.00e-04
  iter   3200 | epoch   4/100 | loss 0.8672 | feat 0.1742 | cls 0.2944 | box 0.3986 | lr 5.00e-04
  iter   3250 | epoch   4/100 | loss 0.8674 | feat 0.1742 | cls 0.2946 | box 0.3987 | lr 5.00e-04
  iter   3300 | epoch   4/100 | loss 0.8688 | feat 0.1742 | cls 0.2953 | box 0.3993 | lr 5.00e-04
  iter   3350 | epoch   4/100 | loss 0.8688 | feat 0.1742 | cls 0.2953 | box 0.3993 | lr 5.00e-04
  iter   3400 | epoch   4/100 | loss 0.8695 | feat 0.1742 | cls 0.2956 | box 0.3998 | lr 5.00e-04
  iter   3450 | epoch   4/100 | loss 0.8689 | feat 0.1742 | cls 0.2954 | box 0.3993 | lr 5.00e-04
  iter   3500 | epoch   4/100 | loss 0.8698 | feat 0.1742 | cls 0.2959 | box 0.3997 | lr 5.00e-04
  iter   3550 | epoch   4/100 | loss 0.8705 | feat 0.1742 | cls 0.2965 | box 0.3998 | lr 5.00e-04
  iter   3600 | epoch   4/100 | loss 0.8708 | feat 0.1742 | cls 0.2968 | box 0.3998 | lr 4.99e-04
[epoch   4] train_loss=0.8709 feat=0.1741 cls=0.2968 box=0.3999 (171.0s)
[epoch   4] validating...
[epoch   4] val_resp=0.7277 (cls=0.3109 box=0.4168) | val_mAP@50:95=0.0860 mAP@50=0.2357 (49.1s)
[epoch   4] new best (val_mAP@50:95 = 0.0860)
  iter   3650 | epoch   5/100 | loss 0.8592 | feat 0.1732 | cls 0.2894 | box 0.3966 | lr 4.99e-04
  iter   3700 | epoch   5/100 | loss 0.8579 | feat 0.1740 | cls 0.2904 | box 0.3935 | lr 4.99e-04
  iter   3750 | epoch   5/100 | loss 0.8586 | feat 0.1738 | cls 0.2912 | box 0.3936 | lr 4.99e-04
  iter   3800 | epoch   5/100 | loss 0.8601 | feat 0.1738 | cls 0.2915 | box 0.3948 | lr 4.99e-04
  iter   3850 | epoch   5/100 | loss 0.8610 | feat 0.1738 | cls 0.2918 | box 0.3954 | lr 4.99e-04
  iter   3900 | epoch   5/100 | loss 0.8617 | feat 0.1738 | cls 0.2926 | box 0.3953 | lr 4.99e-04
  iter   3950 | epoch   5/100 | loss 0.8625 | feat 0.1739 | cls 0.2929 | box 0.3957 | lr 4.99e-04
  iter   4000 | epoch   5/100 | loss 0.8640 | feat 0.1738 | cls 0.2937 | box 0.3965 | lr 4.99e-04
  iter   4050 | epoch   5/100 | loss 0.8629 | feat 0.1739 | cls 0.2930 | box 0.3960 | lr 4.99e-04
  iter   4100 | epoch   5/100 | loss 0.8627 | feat 0.1739 | cls 0.2930 | box 0.3958 | lr 4.99e-04
  iter   4150 | epoch   5/100 | loss 0.8629 | feat 0.1738 | cls 0.2931 | box 0.3960 | lr 4.99e-04
  iter   4200 | epoch   5/100 | loss 0.8624 | feat 0.1737 | cls 0.2931 | box 0.3956 | lr 4.99e-04
  iter   4250 | epoch   5/100 | loss 0.8622 | feat 0.1737 | cls 0.2929 | box 0.3956 | lr 4.99e-04
  iter   4300 | epoch   5/100 | loss 0.8626 | feat 0.1737 | cls 0.2932 | box 0.3957 | lr 4.99e-04
  iter   4350 | epoch   5/100 | loss 0.8632 | feat 0.1737 | cls 0.2934 | box 0.3961 | lr 4.99e-04
  iter   4400 | epoch   5/100 | loss 0.8626 | feat 0.1737 | cls 0.2930 | box 0.3959 | lr 4.99e-04
  iter   4450 | epoch   5/100 | loss 0.8626 | feat 0.1737 | cls 0.2930 | box 0.3960 | lr 4.99e-04
  iter   4500 | epoch   5/100 | loss 0.8626 | feat 0.1737 | cls 0.2930 | box 0.3959 | lr 4.99e-04
[epoch   5] train_loss=0.8629 feat=0.1736 cls=0.2932 box=0.3961 (171.3s)
  iter   4550 | epoch   6/100 | loss 0.8515 | feat 0.1725 | cls 0.2881 | box 0.3909 | lr 4.99e-04
  iter   4600 | epoch   6/100 | loss 0.8491 | feat 0.1734 | cls 0.2870 | box 0.3888 | lr 4.99e-04
  iter   4650 | epoch   6/100 | loss 0.8513 | feat 0.1737 | cls 0.2877 | box 0.3900 | lr 4.99e-04
  iter   4700 | epoch   6/100 | loss 0.8534 | feat 0.1737 | cls 0.2892 | box 0.3905 | lr 4.99e-04
  iter   4750 | epoch   6/100 | loss 0.8549 | feat 0.1735 | cls 0.2899 | box 0.3915 | lr 4.99e-04
  iter   4800 | epoch   6/100 | loss 0.8542 | feat 0.1735 | cls 0.2893 | box 0.3914 | lr 4.99e-04
  iter   4850 | epoch   6/100 | loss 0.8538 | feat 0.1735 | cls 0.2886 | box 0.3917 | lr 4.99e-04
  iter   4900 | epoch   6/100 | loss 0.8545 | feat 0.1734 | cls 0.2893 | box 0.3918 | lr 4.99e-04
