Device: cuda
Train rootovi: sub10k_open_images_v7, sub10k_open_images_v7_part2
Val root:      sub10k_open_images_v7  (nepromijenjen -> mAP usporediv s KD_featlogit)
Train: 14485    Val: 837
Model parameters: 1,060,310
Topli start iz: /home/tomi/code/dipl/custom_models/student_1_m/KD_featlogit/checkpoints/best.pt
  prethodna epoha=22  val_mAP=0.1191
  optimizer/scheduler NE nastavljaju se; LR krece od 5.00e-04
Iteracija/epoha: 905  (part1-only run je imao ~366)
  iter   2250 | epoch   3/100 | loss 0.7709 | feat 0.1665 | cls 0.2529 | box 0.3515 | lr 5.00e-04
  iter   2300 | epoch   3/100 | loss 0.7714 | feat 0.1664 | cls 0.2537 | box 0.3514 | lr 5.00e-04
  iter   2350 | epoch   3/100 | loss 0.7717 | feat 0.1663 | cls 0.2539 | box 0.3515 | lr 5.00e-04
  iter   2400 | epoch   3/100 | loss 0.7709 | feat 0.1663 | cls 0.2535 | box 0.3512 | lr 5.00e-04
  iter   2450 | epoch   3/100 | loss 0.7709 | feat 0.1661 | cls 0.2538 | box 0.3510 | lr 5.00e-04
  iter   2500 | epoch   3/100 | loss 0.7709 | feat 0.1660 | cls 0.2539 | box 0.3509 | lr 5.00e-04
  iter   2550 | epoch   3/100 | loss 0.7708 | feat 0.1660 | cls 0.2540 | box 0.3509 | lr 5.00e-04
  iter   2600 | epoch   3/100 | loss 0.7710 | feat 0.1659 | cls 0.2540 | box 0.3510 | lr 5.00e-04
  iter   2650 | epoch   3/100 | loss 0.7717 | feat 0.1658 | cls 0.2544 | box 0.3514 | lr 5.00e-04
  iter   2700 | epoch   3/100 | loss 0.7715 | feat 0.1658 | cls 0.2543 | box 0.3514 | lr 5.00e-04
[epoch   3] train_loss=0.7714 feat=0.1657 cls=0.2543 box=0.3513 (169.7s)
  iter   2750 | epoch   4/100 | loss 0.7597 | feat 0.1648 | cls 0.2502 | box 0.3446 | lr 5.00e-04
  iter   2800 | epoch   4/100 | loss 0.7568 | feat 0.1659 | cls 0.2470 | box 0.3439 | lr 5.00e-04
  iter   2850 | epoch   4/100 | loss 0.7520 | feat 0.1657 | cls 0.2443 | box 0.3420 | lr 5.00e-04
  iter   2900 | epoch   4/100 | loss 0.7525 | feat 0.1656 | cls 0.2445 | box 0.3424 | lr 5.00e-04
  iter   2950 | epoch   4/100 | loss 0.7522 | feat 0.1654 | cls 0.2445 | box 0.3422 | lr 5.00e-04
  iter   3000 | epoch   4/100 | loss 0.7517 | feat 0.1654 | cls 0.2440 | box 0.3422 | lr 5.00e-04
  iter   3050 | epoch   4/100 | loss 0.7527 | feat 0.1655 | cls 0.2445 | box 0.3427 | lr 5.00e-04
  iter   3100 | epoch   4/100 | loss 0.7520 | feat 0.1654 | cls 0.2443 | box 0.3423 | lr 5.00e-04
  iter   3150 | epoch   4/100 | loss 0.7525 | feat 0.1653 | cls 0.2448 | box 0.3424 | lr 5.00e-04
  iter   3200 | epoch   4/100 | loss 0.7519 | feat 0.1652 | cls 0.2447 | box 0.3419 | lr 5.00e-04
  iter   3250 | epoch   4/100 | loss 0.7533 | feat 0.1651 | cls 0.2456 | box 0.3426 | lr 5.00e-04
  iter   3300 | epoch   4/100 | loss 0.7531 | feat 0.1650 | cls 0.2457 | box 0.3424 | lr 5.00e-04
  iter   3350 | epoch   4/100 | loss 0.7538 | feat 0.1650 | cls 0.2460 | box 0.3427 | lr 5.00e-04
  iter   3400 | epoch   4/100 | loss 0.7532 | feat 0.1649 | cls 0.2457 | box 0.3425 | lr 5.00e-04
  iter   3450 | epoch   4/100 | loss 0.7537 | feat 0.1649 | cls 0.2460 | box 0.3429 | lr 5.00e-04
  iter   3500 | epoch   4/100 | loss 0.7538 | feat 0.1648 | cls 0.2459 | box 0.3430 | lr 5.00e-04
  iter   3550 | epoch   4/100 | loss 0.7542 | feat 0.1648 | cls 0.2461 | box 0.3433 | lr 5.00e-04
  iter   3600 | epoch   4/100 | loss 0.7537 | feat 0.1647 | cls 0.2458 | box 0.3432 | lr 4.99e-04
[epoch   4] train_loss=0.7534 feat=0.1647 cls=0.2457 box=0.3430 (175.9s)
[epoch   4] validating...
[epoch   4] val_resp=0.6713 (cls=0.2880 box=0.3833) | val_mAP@50:95=0.1467 mAP@50=0.3522 (46.6s)
[epoch   4] new best (val_mAP@50:95 = 0.1467)
  iter   3650 | epoch   5/100 | loss 0.7409 | feat 0.1650 | cls 0.2425 | box 0.3334 | lr 4.99e-04
  iter   3700 | epoch   5/100 | loss 0.7377 | feat 0.1644 | cls 0.2397 | box 0.3335 | lr 4.99e-04
  iter   3750 | epoch   5/100 | loss 0.7317 | feat 0.1643 | cls 0.2353 | box 0.3320 | lr 4.99e-04
  iter   3800 | epoch   5/100 | loss 0.7321 | feat 0.1643 | cls 0.2356 | box 0.3322 | lr 4.99e-04
  iter   3850 | epoch   5/100 | loss 0.7322 | feat 0.1643 | cls 0.2349 | box 0.3330 | lr 4.99e-04
  iter   3900 | epoch   5/100 | loss 0.7336 | feat 0.1644 | cls 0.2351 | box 0.3341 | lr 4.99e-04
  iter   3950 | epoch   5/100 | loss 0.7368 | feat 0.1644 | cls 0.2371 | box 0.3353 | lr 4.99e-04
  iter   4000 | epoch   5/100 | loss 0.7362 | feat 0.1643 | cls 0.2373 | box 0.3345 | lr 4.99e-04
  iter   4050 | epoch   5/100 | loss 0.7346 | feat 0.1642 | cls 0.2363 | box 0.3340 | lr 4.99e-04
  iter   4100 | epoch   5/100 | loss 0.7346 | feat 0.1643 | cls 0.2361 | box 0.3342 | lr 4.99e-04
  iter   4150 | epoch   5/100 | loss 0.7361 | feat 0.1642 | cls 0.2371 | box 0.3347 | lr 4.99e-04
  iter   4200 | epoch   5/100 | loss 0.7367 | feat 0.1642 | cls 0.2373 | box 0.3351 | lr 4.99e-04
  iter   4250 | epoch   5/100 | loss 0.7375 | feat 0.1642 | cls 0.2380 | box 0.3353 | lr 4.99e-04
  iter   4300 | epoch   5/100 | loss 0.7380 | feat 0.1642 | cls 0.2382 | box 0.3356 | lr 4.99e-04
  iter   4350 | epoch   5/100 | loss 0.7382 | feat 0.1642 | cls 0.2381 | box 0.3359 | lr 4.99e-04
  iter   4400 | epoch   5/100 | loss 0.7383 | feat 0.1642 | cls 0.2381 | box 0.3360 | lr 4.99e-04
  iter   4450 | epoch   5/100 | loss 0.7383 | feat 0.1642 | cls 0.2381 | box 0.3360 | lr 4.99e-04
  iter   4500 | epoch   5/100 | loss 0.7390 | feat 0.1642 | cls 0.2383 | box 0.3365 | lr 4.99e-04
[epoch   5] train_loss=0.7389 feat=0.1642 cls=0.2383 box=0.3364 (168.5s)
  iter   4550 | epoch   6/100 | loss 0.7220 | feat 0.1635 | cls 0.2300 | box 0.3284 | lr 4.99e-04
  iter   4600 | epoch   6/100 | loss 0.7226 | feat 0.1639 | cls 0.2290 | box 0.3297 | lr 4.99e-04
  iter   4650 | epoch   6/100 | loss 0.7163 | feat 0.1640 | cls 0.2248 | box 0.3276 | lr 4.99e-04
  iter   4700 | epoch   6/100 | loss 0.7156 | feat 0.1638 | cls 0.2248 | box 0.3270 | lr 4.99e-04
  iter   4750 | epoch   6/100 | loss 0.7155 | feat 0.1639 | cls 0.2245 | box 0.3270 | lr 4.99e-04
  iter   4800 | epoch   6/100 | loss 0.7162 | feat 0.1639 | cls 0.2251 | box 0.3272 | lr 4.99e-04
  iter   4850 | epoch   6/100 | loss 0.7184 | feat 0.1639 | cls 0.2268 | box 0.3276 | lr 4.99e-04
  iter   4900 | epoch   6/100 | loss 0.7179 | feat 0.1639 | cls 0.2265 | box 0.3275 | lr 4.99e-04
  iter   4950 | epoch   6/100 | loss 0.7191 | feat 0.1639 | cls 0.2271 | box 0.3281 | lr 4.98e-04
  iter   5000 | epoch   6/100 | loss 0.7203 | feat 0.1638 | cls 0.2280 | box 0.3285 | lr 4.98e-04
